CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
4684,"NON-BLACK, NON-HISPANIC",FEMALE,66272.23,12,1957,62.488,1,,13,0
4685,"NON-BLACK, NON-HISPANIC",MALE,,7,1960,21.055,1,,12,4
4686,"NON-BLACK, NON-HISPANIC",FEMALE,88362.97,6,1958,85.163,1,134767.7,17,1
4687,"NON-BLACK, NON-HISPANIC",MALE,97688.57,10,1962,84.84299,1,145302.1,13,1
4688,"NON-BLACK, NON-HISPANIC",MALE,176725.9,12,1959,90.899,2,,16,1
4689,"NON-BLACK, NON-HISPANIC",FEMALE,0,1,1961,95.81801,1,,16,1
4690,"NON-BLACK, NON-HISPANIC",FEMALE,6185.408,6,1963,89.812,1,152930.5,12,1
4691,"NON-BLACK, NON-HISPANIC",FEMALE,110453.7,3,1961,94.121,1,272445.1,18,3
4692,"NON-BLACK, NON-HISPANIC",FEMALE,38658.8,1,1964,97.585,1,272445.1,16,3
4693,"NON-BLACK, NON-HISPANIC",MALE,,11,1962,47.504,1,,16,1
4694,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1959,69.189,1,,15,1
4695,BLACK,MALE,123708.2,4,1958,92.725,1,,16,0
4696,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1957,71.68,1,,14,2
4697,"NON-BLACK, NON-HISPANIC",MALE,,6,1962,91.42,1,181627.6,,1
4698,"NON-BLACK, NON-HISPANIC",MALE,344973.4,1,1964,69.532,1,90813.81,16,1
4699,"NON-BLACK, NON-HISPANIC",MALE,36449.72,2,1961,60.14,1,88997.54,14,3
4700,"NON-BLACK, NON-HISPANIC",FEMALE,0,5,1959,80.646,1,,16,2
4701,"NON-BLACK, NON-HISPANIC",MALE,143589.8,1,1960,59.027,1,104254.3,12,2
4702,"NON-BLACK, NON-HISPANIC",MALE,142264.4,4,1963,85.659,1,108976.6,14,2
4703,"NON-BLACK, NON-HISPANIC",FEMALE,0,5,1960,,1,78826.39,12,3
4704,"NON-BLACK, NON-HISPANIC",MALE,,2,1960,66.998,1,103164.5,14,2
4705,"NON-BLACK, NON-HISPANIC",FEMALE,0,4,1961,74.951,1,,16,2
4706,"NON-BLACK, NON-HISPANIC",FEMALE,0,9,1962,86.681,1,,16,2
4707,"NON-BLACK, NON-HISPANIC",MALE,102721.9,9,1964,65.045,1,90813.81,12,2
